1. 6和18的最小公倍数_______      2. 15和20的最小公倍数_______      
3. 56和35的最小公倍数_______      4. 18和12的最小公倍数_______      
5. 20和5的最小公倍数_______      6. 8和64的最小公倍数_______      
7. 27和6的最小公倍数_______      8. 45和81的最小公倍数_______      
9. 42和30的最小公倍数_______      10. 81和72的最小公倍数_______      
11. 14和12的最小公倍数_______      12. 30和48的最小公倍数_______      
13. 36和9的最小公倍数_______      14. 32和24的最小公倍数_______      
15. 49和56的最小公倍数_______      16. 1和4的最小公倍数_______      
17. 18和54的最小公倍数_______      18. 15和25的最小公倍数_______      
19. 35和56的最小公倍数_______      20. 6和24的最小公倍数_______      
21. 48和8的最小公倍数_______      22. 20和40的最小公倍数_______      
23. 3和18的最小公倍数_______      24. 15和25的最小公倍数_______      
25. 35和28的最小公倍数_______      26. 27和24的最小公倍数_______      
27. 12和8的最小公倍数_______      28. 63和27的最小公倍数_______      
29. 8和10的最小公倍数_______      30. 32和64的最小公倍数_______      
31. 54和12的最小公倍数_______      32. 7和5的最小公倍数_______      
33. 24和15的最小公倍数_______      34. 12和18的最小公倍数_______      
35. 27和15的最小公倍数_______      36. 21和24的最小公倍数_______      
37. 5和35的最小公倍数_______      38. 16和2的最小公倍数_______      
39. 15和35的最小公倍数_______      40. 35和40的最小公倍数_______      
41. 4和14的最小公倍数_______      42. 1和9的最小公倍数_______      
43. 25和15的最小公倍数_______      44. 81和18的最小公倍数_______      
45. 6和14的最小公倍数_______      46. 12和3的最小公倍数_______      
47. 8和5的最小公倍数_______      48. 56和42的最小公倍数_______      
49. 45和72的最小公倍数_______      50. 63和9的最小公倍数_______      
51. 28和56的最小公倍数_______      52. 24和18的最小公倍数_______      
53. 16和32的最小公倍数_______      54. 30和25的最小公倍数_______      
55. 40和32的最小公倍数_______      56. 7和4的最小公倍数_______      
57. 49和56的最小公倍数_______      58. 8和6的最小公倍数_______      
59. 24和12的最小公倍数_______      60. 8和2的最小公倍数_______      
61. 12和8的最小公倍数_______      62. 6和24的最小公倍数_______      
63. 16和32的最小公倍数_______      64. 10和12的最小公倍数_______      
65. 35和25的最小公倍数_______      66. 42和35的最小公倍数_______      
67. 54和12的最小公倍数_______      68. 27和9的最小公倍数_______      
69. 20和5的最小公倍数_______      70. 27和81的最小公倍数_______      
71. 6和12的最小公倍数_______      72. 54和36的最小公倍数_______      
73. 1和4的最小公倍数_______      74. 45和54的最小公倍数_______      
75. 4和2的最小公倍数_______      76. 16和2的最小公倍数_______      
77. 42和63的最小公倍数_______      78. 20和12的最小公倍数_______      
79. 27和3的最小公倍数_______      80. 36和63的最小公倍数_______      
81. 6和1的最小公倍数_______      82. 64和8的最小公倍数_______      
83. 27和54的最小公倍数_______      84. 40和10的最小公倍数_______      
85. 18和81的最小公倍数_______      86. 30和10的最小公倍数_______      
87. 14和35的最小公倍数_______      88. 32和16的最小公倍数_______      
89. 25和20的最小公倍数_______      90. 32和20的最小公倍数_______      
91. 21和6的最小公倍数_______      92. 40和24的最小公倍数_______      
93. 3和8的最小公倍数_______      94. 25和15的最小公倍数_______      
95. 72和54的最小公倍数_______      96. 2和6的最小公倍数_______      
97. 63和49的最小公倍数_______      98. 49和7的最小公倍数_______      
99. 49和7的最小公倍数_______      
