1.x=2 y=9   2.x=6 y=5   3.x=9 y=4   4.x=4 y=2   
5.x=4 y=5   6.x=9 y=5   7.x=4 y=9   8.x=7 y=6   
9.x=8 y=4   10.x=7 y=3   11.x=6 y=9   12.x=9 y=8   
13.x=5 y=6   14.x=2 y=7   15.x=8 y=9   16.x=5 y=8   
17.x=9 y=6   18.x=4 y=7   19.x=4 y=5   20.x=4 y=2   
21.x=2 y=2   22.x=8 y=6   23.x=3 y=6   24.x=7 y=6   
25.x=3 y=5   26.x=3 y=7   27.x=8 y=9   28.x=2 y=4   
29.x=2 y=2   30.x=7 y=1   31.x=8 y=4   32.x=9 y=9   
33.x=8 y=1   34.x=4 y=6   35.x=1 y=7   36.x=5 y=3   
37.x=9 y=9   38.x=5 y=1   39.x=8 y=9   40.x=6 y=2   
41.x=4 y=3   42.x=8 y=7   43.x=3 y=5   44.x=2 y=4   
45.x=8 y=2   46.x=3 y=7   47.x=5 y=9   48.x=4 y=1   
49.x=7 y=3   50.x=6 y=3   51.x=6 y=4   52.x=9 y=6   
53.x=7 y=8   54.x=9 y=5   55.x=9 y=4   56.x=4 y=3   
57.x=3 y=8   58.x=8 y=8   59.x=7 y=1   60.x=4 y=8   
61.x=9 y=2   62.x=9 y=6   63.x=1 y=5   64.x=7 y=2   
65.x=6 y=9   66.x=6 y=1   67.x=1 y=2   68.x=3 y=8   
69.x=4 y=8   70.x=4 y=8   71.x=7 y=8   72.x=4 y=6   
73.x=3 y=2   74.x=2 y=9   75.x=6 y=5   76.x=1 y=8   
77.x=3 y=5   78.x=7 y=6   79.x=6 y=9   80.x=8 y=7   
81.x=6 y=8   82.x=7 y=8   83.x=8 y=1   84.x=5 y=9   
85.x=8 y=7   86.x=7 y=3   87.x=6 y=6   88.x=8 y=8   
89.x=5 y=8   90.x=7 y=9   91.x=8 y=7   92.x=2 y=8   
93.x=6 y=4   94.x=1 y=2   95.x=7 y=4   96.x=6 y=4   
97.x=4 y=3   98.x=4 y=6   99.x=9 y=5   100.x=7 y=6   
101.x=7 y=2   102.x=7 y=9   103.x=9 y=5   104.x=9 y=6   
105.x=8 y=4   106.x=6 y=6   107.x=3 y=5   108.x=2 y=6   
109.x=3 y=4   110.x=8 y=3   111.x=6 y=9   112.x=6 y=7   
113.x=2 y=1   114.x=5 y=7   115.x=7 y=1   116.x=8 y=6   
117.x=4 y=1   118.x=1 y=4   119.x=2 y=3   120.x=9 y=3   
